"Structure","sites internet"
"Archimède Plongée","dm"
"Aquabormes","http://aquabormes.fr/"
"Aqualonde","https://www.aqualonde-plongee.com/"
"ATAO plongée","http://www.atao-plongee.fr/fr"
"Aventure Bleue","http://www.aventurebleue.com/"
"Bormes Plongée SARL","http://www.bormesplongee.fr/"
"Bulles passion- A l'Eau Plongée 83","http://www.aleauplongee83.com/"
"Cap Camarat","http://www.capcamaratplongee.com/"
"Capte plongée","https://www.capteplongee.com/"
"Centre de plongée Cyana","http://www.cyana-plongee.com/"
"Centre de plongée du Pradet","http://www.plongee-var.fr/"
"Centre de Plongée de Miramar","http://www.plongeemiramar.com/"
"CIP du Lavandou","http://www.cip-lavandou.fr/"
"Club de Plongée de L'Escalet","https://www.club-plongee-escalet.fr/"
"Dive & Co","dm"
"Dune La Londe","http://www.dune-lalonde.com/"
"Divin'Giens","http://divingiens.com/"
"Eau bleue","http://plongeecavalaire.com/"
"Eperlan club","http://eperlan.fr/"
"Espace mer","http://www.espacemer.fr/"
"European diving club","http://www.europeandiving.fr/"
"Gite de plongée du Gapeau","https://www.gite-de-plongee-du-gapeau.com/"
"Iero Club","http://www.iero.fr/Iero/"
"Ileo Porquerolles","http://www.ileo-porquerolles.fr/"
"Immersion plongée","http://immersion-plongee.com/"
"Isadora Croisières","http://www.plongee-isadora.com/"
"Lavandou plongée","https://lavandou-plongee.com/"
"les Tétards Gazéléc","http://gazelec-var.fr/sports-aquatiques"
"La fée plongée","http://www.lafeeplongee.fr/"
"la Tribubulles","http://www.tribubulles.com/"
"Mio Palmo Cavalaire","http://www.miopalmoplongee.com/"
"Mio Palmo Hyères","http://www.miopalmoplongee.com/"
"Plongéeo/ héliodive","http://www.plongeeo.com/"
"Plongée privilège","http://www.plongeepriveebormes.com/index.php"
"Porquerolles plongée","http://www.porquerolles-plongee.com/"
"Randomarine","https://www.randomarine.com/"
"Saint  P'Hyères Plongée ","https://www.hyeres-plongee.com/"
"SAR club","https://sarclub.jimdo.com/"
"SAS Will Tof","dm"
"Sub tropic ","http://www.ffessmcotedazur.fr/clubs83/subtropic.htm"
"Sun plongée","http://www.sun-portcros.com/"
"TeloSub","dm"
"Tiki dive","http://www.tiki-dive.com/"
"Ulysse plongée","http://www.ulysseplongee.fr/"
"Victoria Plongées","http://www.victoria-croisieres.com/site/"
"UCPA Hyères","https://www.ucpa-vacances.com/centre/france/hyeres/"
"UCPA Le Levant ","https://www.ucpa-vacances.com/centre/france/ile-du-levant/"
"CODEP Var - FFESSM","https://codep83.fr/"
"ANMP","http://www.anmp-plongee.com/"
"Blue Addiction","blue-addiction.com/fr/"
"Club International d'Apnée Hyerois (CIAH)  ","dm"
"Espace mer","http://www.espacemer.fr/"
"la Tribubulles","http://www.tribubulles.com/"
